어휘,분류,난이도
인지하다,학습도구어,5
인하다,학습도구어,4
일관,학습도구어,4
일관되다,학습도구어,4
일관성,학습도구어,4
일단,학습도구어,2
일련,학습도구어,4
일반,학습도구어,3
일반성,학습도구어,5
일반적,학습도구어,2
일반화,학습도구어,5
일반화되다,학습도구어,4
일반화하다,학습도구어,4
일부,학습도구어,2
일부분,학습도구어,3
일시,학습도구어,4
일시적,학습도구어,3
일정,학습도구어,2
일정하다,학습도구어,2
일차,학습도구어,3
일차원,학습도구어,4
일차적,학습도구어,4
일치,학습도구어,3
일치되다,학습도구어,3
일치하다,학습도구어,3
일환,학습도구어,4
임의,학습도구어,5
임의적,학습도구어,5
입각,학습도구어,4
입각하다,학습도구어,5
입력,학습도구어,4
입력되다,학습도구어,4
입력하다,학습도구어,4
입증,학습도구어,4
입증되다,학습도구어,5
입증하다,학습도구어,4
입체,학습도구어,4
입체적,학습도구어,3
자극,학습도구어,2
자극적,학습도구어,3
자극하다,학습도구어,4
자동,학습도구어,4
자동성,학습도구어,7
자동적,학습도구어,5
자동화,학습도구어,4
자동화되다,학습도구어,5
자동화하다,학습도구어,5
자료,학습도구어,2
자립,학습도구어,3
자립성,학습도구어,4
자립적,학습도구어,4
자명,학습도구어,5
자명하다,학습도구어,5
자발,학습도구어,4
자발성,학습도구어,5
자발적,학습도구어,3
자연,학습도구어,1
자연성,학습도구어,5
자연적,학습도구어,2
자율,학습도구어,4
자율성,학습도구어,4
자율적,학습도구어,4
자율화,학습도구어,4
자율화되다,학습도구어,4
자율화하다,학습도구어,4
자체,학습도구어,3
자체적,학습도구어,4
작성,학습도구어,3
작성되다,학습도구어,4
작성하다,학습도구어,3
작용,학습도구어,3
작용되다,학습도구어,4
작용점,학습도구어,6
작용하다,학습도구어,3
잠재,학습도구어,5
잠재력,학습도구어,5
잠재성,학습도구어,6
잠재적,학습도구어,4
잠정,학습도구어,5
잠정적,학습도구어,4
장기,학습도구어,4
장기간,학습도구어,4
장려,학습도구어,3
장려되다,학습도구어,4
장려하다,학습도구어,3
장면,학습도구어,2
장애,학습도구어,2
장점,학습도구어,3
재구성,학습도구어,5
재구성되다,학습도구어,4
재구성하다,학습도구어,5
재료,학습도구어,2
재분류,학습도구어,5
재분류되다,학습도구어,5
재분류하다,학습도구어,6
재출발,학습도구어,4
재출발하다,학습도구어,3
재확인,학습도구어,3
재확인되다,학습도구어,4
재확인하다,학습도구어,4
저하,학습도구어,5
저하되다,학습도구어,4
적극,학습도구어,3
적극성,학습도구어,5
적극적,학습도구어,3
적용,학습도구어,4
적용되다,학습도구어,3
적용하다,학습도구어,3
적응,학습도구어,3
적응되다,학습도구어,3
적응하다,학습도구어,3
적절,학습도구어,3
적절하다,학습도구어,3
적정,학습도구어,5
적정하다,학습도구어,5
적합,학습도구어,4
적합성,학습도구어,5
적합하다,학습도구어,3
전개,학습도구어,2
전개되다,학습도구어,2
전개하다,학습도구어,3
전달,학습도구어,2
전달되다,학습도구어,3
전달하다,학습도구어,3
전략,학습도구어,2
전략적,학습도구어,3
전망,학습도구어,4
전망되다,학습도구어,4
전면,학습도구어,4
전면적,학습도구어,3
전문,학습도구어,2
전문성,학습도구어,3
전문적,학습도구어,3
전문화,학습도구어,4
전문화되다,학습도구어,5
전문화하다,학습도구어,4
전반,학습도구어,4
전반적,학습도구어,3
전술,학습도구어,5
전술되다,학습도구어,6
전술하다,학습도구어,5
전이,학습도구어,5
전이되다,학습도구어,5
전이하다,학습도구어,5
전자,학습도구어,4
전제,학습도구어,4
전제되다,학습도구어,5
전제하다,학습도구어,5
전체,학습도구어,2
전체성,학습도구어,5
전체적,학습도구어,2
전파,학습도구어,3
전형,학습도구어,4
전형성,학습도구어,5
전형적,학습도구어,3
전형화,학습도구어,7
전형화되다,학습도구어,7
전형화하다,학습도구어,7
전환,학습도구어,4
전환되다,학습도구어,5
전환하다,학습도구어,4
절대,학습도구어,2
절대성,학습도구어,5
절대적,학습도구어,3
절실,학습도구어,3
절실하다,학습도구어,3
절차,학습도구어,3
점검,학습도구어,4
점검되다,학습도구어,5
점검하다,학습도구어,4
점진,학습도구어,6
점진적,학습도구어,4
점차,학습도구어,3
접근,학습도구어,4
접근되다,학습도구어,4
접근하다,학습도구어,3
접촉,학습도구어,3
접촉되다,학습도구어,4
접촉점,학습도구어,6
접촉하다,학습도구어,4
정교,학습도구어,4
정교하다,학습도구어,4
정기,학습도구어,3
정기적,학습도구어,3
정당,학습도구어,3
정당하다,학습도구어,3
정당화,학습도구어,4
정당화되다,학습도구어,4
정당화하다,학습도구어,3
정리,학습도구어,2
정리되다,학습도구어,3
정리하다,학습도구어,2
정립,학습도구어,4
정립되다,학습도구어,5
정립하다,학습도구어,4
정밀,학습도구어,3
정밀성,학습도구어,5
정밀하다,학습도구어,3
정보,학습도구어,2
정보화,학습도구어,4
정보화되다,학습도구어,4
정보화하다,학습도구어,4
정상,학습도구어,2
정상적,학습도구어,3
정서,학습도구어,2
정연,학습도구어,4
정의,학습도구어,4
정의되다,학습도구어,5
정의하다,학습도구어,4
정적,학습도구어,5
정점,학습도구어,4
정지,학습도구어,3
정지되다,학습도구어,3
정지하다,학습도구어,3
정확,학습도구어,2
정확성,학습도구어,3
정확하다,학습도구어,3
제각각,학습도구어,3
제거,학습도구어,4
제거되다,학습도구어,3
제거하다,학습도구어,3
제공,학습도구어,3
제공되다,학습도구어,3
제공하다,학습도구어,2
제기,학습도구어,4
제기되다,학습도구어,4
제기하다,학습도구어,4
제도,학습도구어,4
제도적,학습도구어,4
제도화,학습도구어,5
제도화되다,학습도구어,5
제반,학습도구어,5
제시,학습도구어,3
제시되다,학습도구어,3
제시하다,학습도구어,2
제안,학습도구어,3
제안되다,학습도구어,4
제안하다,학습도구어,3
제언,학습도구어,5
제외,학습도구어,4
제외되다,학습도구어,4
제외하다,학습도구어,3
제출,학습도구어,2
제출되다,학습도구어,3
제출하다,학습도구어,3
제한,학습도구어,2
제한되다,학습도구어,3
제한적,학습도구어,3
제한하다,학습도구어,3
조건,학습도구어,3
조건적,학습도구어,4
조망,학습도구어,5
조망하다,학습도구어,5
조명하다,학습도구어,3
조사,학습도구어,4
조사되다,학습도구어,2
조사하다,학습도구어,3
조성,학습도구어,4
조성되다,학습도구어,4
조성하다,학습도구어,4
조작,학습도구어,4
조작되다,학습도구어,4
조작적,학습도구어,6
조작하다,학습도구어,4
조장,학습도구어,5
조절,학습도구어,3
조절되다,학습도구어,4
조절하다,학습도구어,3
조정,학습도구어,3
조정되다,학습도구어,4
조종,학습도구어,3
조종되다,학습도구어,4
조종하다,학습도구어,3
조직,학습도구어,3
조직되다,학습도구어,3
조직적,학습도구어,3
조직하다,학습도구어,3
조직화,학습도구어,4
조직화되다,학습도구어,5
조직화하다,학습도구어,4
조치,학습도구어,4
조치하다,학습도구어,4
조합,학습도구어,4
조합되다,학습도구어,4
조합하다,학습도구어,3
조화,학습도구어,3
조화되다,학습도구어,3
조화하다,학습도구어,4
존재,학습도구어,3
존재성,학습도구어,5
존재하다,학습도구어,2
종류,학습도구어,2
종류별,학습도구어,3
종속,학습도구어,4
종속되다,학습도구어,5
종속적,학습도구어,4
종속하다,학습도구어,5
종합,학습도구어,3
종합되다,학습도구어,3
종합적,학습도구어,3
종합하다,학습도구어,3
주관,학습도구어,4
주관성,학습도구어,4
주관적,학습도구어,3
주되다,학습도구어,3
주목,학습도구어,3
주목하다,학습도구어,3
주변,학습도구어,2
주성분,학습도구어,3
주안,학습도구어,5
주안점,학습도구어,5
주요,학습도구어,2
주요하다,학습도구어,3
주의,학습도구어,3
주의력,학습도구어,3
주의하다,학습도구어,3
주장,학습도구어,2
주장되다,학습도구어,2
주장하다,학습도구어,3
주제,학습도구어,3
주지,학습도구어,4
주지하다,학습도구어,5
주체,학습도구어,3
주체성,학습도구어,3
주체적,학습도구어,3
준거,학습도구어,5
준비,학습도구어,1
준비되다,학습도구어,2
준비하다,학습도구어,1
준수,학습도구어,4
준수되다,학습도구어,5
중대,학습도구어,3
중대하다,학습도구어,3
중략,학습도구어,4
중복,학습도구어,4
중복되다,학습도구어,4
중시,학습도구어,4
중시되다,학습도구어,4
중시하다,학습도구어,3
중심,학습도구어,1
중심부,학습도구어,3
중심적,학습도구어,2
중요,학습도구어,2
중요성,학습도구어,2
중요시,학습도구어,5
중요시되다,학습도구어,4
중요시하다,학습도구어,4
중요하다,학습도구어,1
중점,학습도구어,4
즉각,학습도구어,4
즉각적,학습도구어,5
증가,학습도구어,3
증가되다,학습도구어,3
증가하다,학습도구어,2
증거,학습도구어,3
증대,학습도구어,4
증대되다,학습도구어,5
증대하다,학습도구어,4
증명,학습도구어,3
증명되다,학습도구어,4
증명하다,학습도구어,3
증진,학습도구어,3
증진되다,학습도구어,4
증진하다,학습도구어,3
지각,학습도구어,3
지각되다,학습도구어,4
지력,학습도구어,5
지성,학습도구어,3
지속,학습도구어,4
지속되다,학습도구어,3
지속성,학습도구어,5
지속적,학습도구어,3
지속하다,학습도구어,3
지시,학습도구어,2
지시되다,학습도구어,3
지시하다,학습도구어,3
지원,학습도구어,4
지적,학습도구어,4
지적되다,학습도구어,4
지적하다,학습도구어,3
지점,학습도구어,2
지정,학습도구어,3
지정되다,학습도구어,3
지정하다,학습도구어,3
지지,학습도구어,4
지지하다,학습도구어,3
지칭,학습도구어,4
지칭되다,학습도구어,5
지칭하다,학습도구어,4
지표,학습도구어,4
지향,학습도구어,5
지향점,학습도구어,5
지향하다,학습도구어,4
직결,학습도구어,4
직결되다,학습도구어,4
직면,학습도구어,4
직면하다,학습도구어,4
직시,학습도구어,5
직시하다,학습도구어,4
직접,학습도구어,2
직접성,학습도구어,5
직접적,학습도구어,3
직후,학습도구어,2
진단,학습도구어,4
진단되다,학습도구어,4
진단하다,학습도구어,4
진보,학습도구어,3
진보되다,학습도구어,4
진보성,학습도구어,5
진보적,학습도구어,4
진보하다,학습도구어,3
진술,학습도구어,4
진술되다,학습도구어,5
진술하다,학습도구어,4
진전,학습도구어,4
진전되다,학습도구어,4
진전하다,학습도구어,4
진행,학습도구어,2
진행되다,학습도구어,3
진행하다,학습도구어,3
질서,학습도구어,2
질적,학습도구어,3
집중,학습도구어,2
집중되다,학습도구어,3
집중력,학습도구어,4
집중적,학습도구어,3
집중하다,학습도구어,3
집중화,학습도구어,5
집중화되다,학습도구어,5
집중화하다,학습도구어,6
차별,학습도구어,2
차별되다,학습도구어,3
차별하다,학습도구어,3
차별화,학습도구어,5
차별화되다,학습도구어,6
차별화하다,학습도구어,6
차원,학습도구어,4
차이,학습도구어,2
차이점,학습도구어,2
착수,학습도구어,4
착수되다,학습도구어,4
착수하다,학습도구어,3
참고,학습도구어,2
참고되다,학습도구어,3
참고하다,학습도구어,3
참여,학습도구어,4
참여하다,학습도구어,3
참조,학습도구어,3
참조하다,학습도구어,4
창의,학습도구어,3
창의성,학습도구어,3
창의적,학습도구어,3
창조,학습도구어,2
창조되다,학습도구어,3
창조력,학습도구어,4
창조성,학습도구어,4
창조적,학습도구어,3
창조하다,학습도구어,3
창출,학습도구어,5
창출되다,학습도구어,5
창출하다,학습도구어,5
채택,학습도구어,4
채택되다,학습도구어,3
채택하다,학습도구어,3
처리,학습도구어,2
처리되다,학습도구어,3
처리하다,학습도구어,2
처치,학습도구어,5
처치되다,학습도구어,4
처치하다,학습도구어,4
척도,학습도구어,3
철저,학습도구어,4
철저하다,학습도구어,3
체계,학습도구어,4
체계성,학습도구어,5
체계적,학습도구어,3
체계화,학습도구어,5
체계화되다,학습도구어,5
체계화하다,학습도구어,5
체재,학습도구어,3
체제,학습도구어,4
초과,학습도구어,3
초과되다,학습도구어,4
초과하다,학습도구어,3
초기,학습도구어,3
초래,학습도구어,4
초래되다,학습도구어,4
초래하다,학습도구어,4
초록,학습도구어,4
초점,학습도구어,3
촉진,학습도구어,4
촉진되다,학습도구어,5
촉진하다,학습도구어,5
총괄,학습도구어,4
총괄되다,학습도구어,5
총괄하다,학습도구어,4
총체,학습도구어,5
총합,학습도구어,5
최고,학습도구어,2
최근,학습도구어,2
최대,학습도구어,3
최대한,학습도구어,3
최소,학습도구어,4
최소한,학습도구어,3
최종,학습도구어,3
최종적,학습도구어,3
최초,학습도구어,3
추가,학습도구어,4
추가되다,학습도구어,4
추가하다,학습도구어,3
추구,학습도구어,5
추구하다,학습도구어,4
추론,학습도구어,4
추론적,학습도구어,5
추론하다,학습도구어,4
추리,학습도구어,3
추리되다,학습도구어,4
추리하다,학습도구어,4
추상,학습도구어,4
추상적,학습도구어,3
추상화되다,학습도구어,5
추상화하다,학습도구어,5
추세,학습도구어,4
추적,학습도구어,4
추적하다,학습도구어,4
추정,학습도구어,4
추정되다,학습도구어,5
추정하다,학습도구어,4
추진,학습도구어,3
추진되다,학습도구어,3
추진하다,학습도구어,2
추출,학습도구어,5
추출되다,학습도구어,5
추출하다,학습도구어,5
추측,학습도구어,4
추측되다,학습도구어,4
추측하다,학습도구어,3
축소,학습도구어,3
축소되다,학습도구어,3
축소하다,학습도구어,3
축적,학습도구어,4
축적되다,학습도구어,4
축적하다,학습도구어,5
출발,학습도구어,1
출발되다,학습도구어,4
출발점,학습도구어,3
출발하다,학습도구어,1
출연하다,학습도구어,3
출처,학습도구어,4
출현,학습도구어,4
출현되다,학습도구어,5
충분,학습도구어,2
충분하다,학습도구어,2
충족,학습도구어,4
충족되다,학습도구어,5
충족하다,학습도구어,5
취급,학습도구어,2
취급되다,학습도구어,3
취급하다,학습도구어,3
취지,학습도구어,4
취하다,학습도구어,3
측면,학습도구어,4
측정,학습도구어,3
측정되다,학습도구어,4
측정하다,학습도구어,3
층위,학습도구어,5
치밀,학습도구어,3
치밀하다,학습도구어,3
치열,학습도구어,4
치열하다,학습도구어,3
친환경적,학습도구어,4
타당,학습도구어,3
타당성,학습도구어,4
타당하다,학습도구어,3
탁월,학습도구어,4
탁월하다,학습도구어,4
탈피,학습도구어,4
탈피되다,학습도구어,4
탈피하다,학습도구어,4
탐구,학습도구어,3
탐구되다,학습도구어,4
탐구력,학습도구어,4
탐구심,학습도구어,2
탐구하다,학습도구어,3
탐색,학습도구어,3
탐색하다,학습도구어,3
토대,학습도구어,4
통계,학습도구어,3
통과,학습도구어,3
통과되다,학습도구어,4
통과하다,학습도구어,3
통로,학습도구어,3
통일,학습도구어,3
통일되다,학습도구어,3
통일성,학습도구어,4
통일체,학습도구어,5
통일하다,학습도구어,3
통제,학습도구어,3
통제되다,학습도구어,3
통제력,학습도구어,5
통제하다,학습도구어,3
통찰,학습도구어,5
통찰력,학습도구어,4
통찰하다,학습도구어,4
통합,학습도구어,4
통합되다,학습도구어,4
통합성,학습도구어,5
통합적,학습도구어,4
통합하다,학습도구어,3
특성,학습도구어,2
특수,학습도구어,4
특수하다,학습도구어,4
특이,학습도구어,4
특이점,학습도구어,5
특이하다,학습도구어,2
특정,학습도구어,4
특질,학습도구어,4
특징,학습도구어,2
특징적,학습도구어,3
파생,학습도구어,4
파생되다,학습도구어,4
파생적,학습도구어,5
파생하다,학습도구어,4
파악,학습도구어,3
파악되다,학습도구어,3
파악하다,학습도구어,2
판단,학습도구어,2
판단되다,학습도구어,3
판단력,학습도구어,3
판단하다,학습도구어,2
평가,학습도구어,2
평가되다,학습도구어,3
평가하다,학습도구어,3
평균,학습도구어,2
평균적,학습도구어,4
포괄,학습도구어,5
포괄되다,학습도구어,5
포괄적,학습도구어,5
포괄하다,학습도구어,4
포함,학습도구어,3
포함되다,학습도구어,3
포함하다,학습도구어,3
표기,학습도구어,4
표기되다,학습도구어,4
표기하다,학습도구어,4
표면,학습도구어,3
표면화,학습도구어,5
표시,학습도구어,4
표시되다,학습도구어,3
표시하다,학습도구어,2
표준,학습도구어,2
표준성,학습도구어,7
표준적,학습도구어,3
표준화,학습도구어,4
표현,학습도구어,1
표현되다,학습도구어,2
표현적,학습도구어,4
표현하다,학습도구어,2
풍부,학습도구어,3
풍부하다,학습도구어,3
필수,학습도구어,4
필수적,학습도구어,3
필연,학습도구어,4
필연적,학습도구어,3
필요,학습도구어,1
필요성,학습도구어,3
필요하다,학습도구어,1
하부,학습도구어,4
하위,학습도구어,4
학문,학습도구어,2
학문적,학습도구어,2
학설,학습도구어,4
학술,학습도구어,3
한계,학습도구어,2
한계성,학습도구어,5
한계점,학습도구어,6
한정,학습도구어,4
한정되다,학습도구어,3
한정하다,학습도구어,3
함의,학습도구어,5
합계,학습도구어,3
합리,학습도구어,4
합리성,학습도구어,5
합리적,학습도구어,3
합리화,학습도구어,4
합리화되다,학습도구어,5
합리화하다,학습도구어,4
합성,학습도구어,2
합성되다,학습도구어,3
합성하다,학습도구어,3
합의,학습도구어,4
합의되다,학습도구어,5
합의하다,학습도구어,4
항목,학습도구어,3
해결,학습도구어,2
해결되다,학습도구어,3
해결책,학습도구어,4
해결하다,학습도구어,2
해답,학습도구어,3
해당,학습도구어,3
해당되다,학습도구어,3
해당하다,학습도구어,2
해석되다,학습도구어,4
해소,학습도구어,4
해소되다,학습도구어,4
해소하다,학습도구어,4
핵심,학습도구어,2
핵심적,학습도구어,3
행하다,학습도구어,2
향상,학습도구어,3
향상되다,학습도구어,3
향상하다,학습도구어,4
허용,학습도구어,3
허용되다,학습도구어,3
허용하다,학습도구어,3
현대,학습도구어,3
현대성,학습도구어,5
현대적,학습도구어,3
현대화,학습도구어,4
현대화되다,학습도구어,4
현대화하다,학습도구어,5
현상,학습도구어,4
현실,학습도구어,2
현실성,학습도구어,4
현실적,학습도구어,2
현실화,학습도구어,5
현실화되다,학습도구어,5
현실화하다,학습도구어,4
현장,학습도구어,4
현저,학습도구어,4
현저하다,학습도구어,4
현황,학습도구어,4
협력,학습도구어,2
협력하다,학습도구어,3
형상,학습도구어,4
형상성,학습도구어,7
형상화,학습도구어,4
형상화되다,학습도구어,5
형상화하다,학습도구어,5
형성,학습도구어,3
형성되다,학습도구어,4
형성하다,학습도구어,4
형식,학습도구어,2
형식적,학습도구어,3
형식화,학습도구어,5
형식화되다,학습도구어,5
형식화하다,학습도구어,5
형태,학습도구어,3
혼란,학습도구어,2
혼란스럽다,학습도구어,3
혼합,학습도구어,3
혼합되다,학습도구어,3
혼합하다,학습도구어,4
확고,학습도구어,4
확고하다,학습도구어,4
확대,학습도구어,3
확대되다,학습도구어,3
확대하다,학습도구어,3
확률,학습도구어,4
확립,학습도구어,4
확립되다,학습도구어,4
확립하다,학습도구어,4
확보,학습도구어,4
확보되다,학습도구어,5
확보하다,학습도구어,4
확산,학습도구어,4
확산되다,학습도구어,5
확산하다,학습도구어,4
확실,학습도구어,2
확실하다,학습도구어,2
확인,학습도구어,3
확인되다,학습도구어,3
확인하다,학습도구어,2
확장,학습도구어,3
확장되다,학습도구어,3
확장하다,학습도구어,3
확정,학습도구어,4
확정되다,학습도구어,3
확정하다,학습도구어,4
확충,학습도구어,5
확충되다,학습도구어,5
확충하다,학습도구어,5
환경,학습도구어,2
환경적,학습도구어,2
활동,학습도구어,1
활동성,학습도구어,5
활동적,학습도구어,2
활동하다,학습도구어,2
활발,학습도구어,2
활발하다,학습도구어,2
활성화,학습도구어,5
활성화되다,학습도구어,5
활성화하다,학습도구어,5
활용,학습도구어,3
활용되다,학습도구어,3
활용하다,학습도구어,3
회복,학습도구어,2
회복되다,학습도구어,3
회복하다,학습도구어,3
획기적,학습도구어,3
획득,학습도구어,3
획득되다,학습도구어,4
획득하다,학습도구어,3
효과,학습도구어,2
효과적,학습도구어,2
효용,학습도구어,4
효율,학습도구어,4
효율성,학습도구어,5
효율적,학습도구어,3
후반,학습도구어,4
후자,학습도구어,4
흡수,학습도구어,2
흡수되다,학습도구어,3
흡수성,학습도구어,6
흡수하다,학습도구어,3
